pop2022,pop1990,growth_percentage,geo_name
2265926,741459,205.60368139033986,"Las Vegas-Henderson-Paradise, NV"
6123949,2119006,189.00102217737938,"Miami-Fort Lauderdale-Pompano Beach, FL"
2296377,846227,171.3665482193312,"Austin-Round Rock-Georgetown, TX"
2679298,1224852,118.74463200451973,"Orlando-Kissimmee-Sanford, FL"
4864209,2238480,117.29964082770452,"Phoenix-Mesa-Chandler, AZ"
6094752,3083843,97.63496390704715,"Atlanta-Sandy Springs-Alpharetta, GA"
2668688,1365184,95.48192771084338,"Charlotte-Concord-Gastonia, NC-SC"
7673379,3984437,92.5837703043115,"Dallas-Fort Worth-Arlington, TX"
7142603,3767335,89.59298814679342,"Houston-The Woodlands-Sugar Land, TX"
2570862,1407745,82.62270510639355,"San Antonio-New Braunfels, TX"
1990873,1103028,80.49161036709856,"Nashville-Davidson--Murfreesboro--Franklin, TN"
2959386,1650489,79.30358820931251,"Denver-Aurora-Lakewood, CO"
4610050,2588793,78.07719659316137,"Riverside-San Bernardino-Ontario, CA"
1613587,925213,74.40167831623637,"Jacksonville, FL"
2505312,1523741,64.4184936941383,"Portland-Vancouver-Hillsboro, OR-WA"
2394673,1481102,61.681842303906144,"Sacramento-Roseville-Folsom, CA"
4001701,2559164,56.36750907718302,"Seattle-Tacoma-Bellevue, WA"
6346083,4105955,54.55802608650119,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3194310,2067959,54.46679552157465,"Tampa-St. Petersburg-Clearwater, FL"
2109957,1410690,49.56914701316377,"Indianapolis-Carmel-Anderson, IN"
2137223,1462258,46.159090940176085,"Columbus, OH"
3678328,2580743,42.52980633871719,"Minneapolis-St. Paul-Bloomington, MN-WI"
2190750,1614534,35.68930725522039,"Kansas City, MO-KS"
3289701,2498016,31.692551208639173,"San Diego-Chula Vista-Carlsbad, CA"
1981584,1534274,29.15450564892581,"San Jose-Sunnyvale-Santa Clara, CA"
4692242,3686592,27.278581410690418,"San Francisco-Oakland-Berkeley, CA"
1798025,1464598,22.765769173520653,"Virginia Beach-Norfolk-Newport News, VA-NC"
2253528,1844917,22.14793402630037,"Cincinnati, OH-KY-IN"
2840005,2382172,19.21914118711831,"Baltimore-Columbia-Towson, MD"
4912449,4133895,18.833424651569526,"Boston-Cambridge-Newton, MA-NH"
9566955,8053895,18.78668644177755,"Chicago-Naperville-Elgin, IL-IN-WI"
19908595,16818080,18.376146385318656,"New York-Newark-Jersey City, NY-NJ-PA"
13111917,11273720,16.305150385143502,"Los Angeles-Long Beach-Anaheim, CA"
6232894,5435468,14.670788237553786,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
1670949,1509789,10.674339261976343,"Providence-Warwick, RI-MA"
2813523,2560517,9.881051365798392,"St. Louis, MO-IL"
1568940,1432149,9.551450303006181,"Milwaukee-Waukesha, WI"
4375604,4248699,2.9869143471919286,"Detroit-Warren-Dearborn, MI"
2365501,2564535,-7.761017104465331,"Pittsburgh, PA"

Source: Decennial 1990 & ACS 2022 Population
