2020 - 2030 Employment Projections for Dallas
SOC,"SOC Title","Employment","Projected","Absolute Change","Percent Change","Average Annual Openings"
    "00-0000","Total, All Occupations",1784793,2044637,259844,14.5588,229079
    "11-1011","Chief Executives",1647,1666,19,1.1536,114
    "11-1021","General and Operations Managers",32433,38097,5664,17.4637,3456
    "11-1031","Legislators",82,91,9,10.9756,7
    "11-2011","Advertising and Promotions Managers",305,319,14,4.5902,31
    "11-2021","Marketing Managers",3928,4498,570,14.5112,407
    "11-2022","Sales Managers",6611,7570,959,14.5061,685
    "11-2032","Public Relations Managers",1078,1288,210,19.4805,118
    "11-3012","Administrative Services Managers",4530,5284,754,16.6446,459
    "11-3021","Computer and Information Systems Managers",6601,7790,1189,18.0124,645
    "11-3031","Financial Managers",9175,11707,2532,27.5967,992
    "11-3051","Industrial Production Managers",1435,1566,131,9.1289,113
    "11-3061","Purchasing Managers",975,1088,113,11.5897,90
    "11-3071","Transportation, Storage, and Distribution Managers",2109,2525,416,19.7250,214
    "11-3111","Compensation and Benefits Managers",444,529,85,19.1441,43
    "11-3121","Human Resources Managers",2065,2445,380,18.4019,216
    "11-3131","Training and Development Managers",551,656,105,19.0563,63
    "11-9021","Construction Managers",8945,10720,1775,19.8435,878
    "11-9032","Education Administrators, Kindergarten through Secondary",2939,3371,432,14.6989,267
    "11-9033","Education Administrators, Postsecondary",642,693,51,7.9439,52
    "11-9039","Education Administrators, All Other",502,632,130,25.8964,53
    "11-9041","Architectural and Engineering Managers",2265,2488,223,9.8455,186
    "11-9051","Food Service Managers",2442,2951,509,20.8436,348
    "11-9081","Lodging Managers",617,663,46,7.4554,74
    "11-9111","Medical and Health Services Managers",5110,7140,2030,39.7260,667
    "11-9121","Natural Sciences Managers",269,310,41,15.2416,24
    "11-9141","Property, Real Estate, and Community Association Managers",7419,8187,768,10.3518,667
    "11-9151","Social and Community Service Managers",927,1108,181,19.5254,102
    "11-9161","Emergency Management Directors",77,88,11,14.2857,8
    "11-9199","Managers, All Other",6927,8092,1165,16.8182,658
    "13-1020","Buyers and Purchasing Agents",6265,6326,61,0.9737,624
    "13-1031","Claims Adjusters, Examiners, and Investigators",6429,6645,216,3.3598,516
    "13-1032","Insurance Appraisers, Auto Damage",874,856,-18,-2.0595,63
    "13-1041","Compliance Officers",5158,5832,674,13.0671,492
    "13-1051","Cost Estimators",2566,2735,169,6.5861,252
    "13-1071","Human Resources Specialists",10193,12449,2256,22.1328,1285
    "13-1075","Labor Relations Specialists",481,510,29,6.0291,49
    "13-1081","Logisticians",2644,3769,1125,42.5492,387
    "13-1082","Project Management Specialists",31155,35518,4363,14.0042,2844
    "13-1111","Management Analysts",12556,15088,2532,20.1657,1492
    "13-1121","Meeting, Convention, and Event Planners",1343,1644,301,22.4125,185
    "13-1131","Fundraisers",658,842,184,27.9635,89
    "13-1141","Compensation, Benefits, and Job Analysis Specialists",1509,1858,349,23.1279,184
    "13-1151","Training and Development Specialists",5487,6466,979,17.8422,644
    "13-1161","Market Research Analysts and Marketing Specialists",10012,12657,2645,26.4183,1361
    "13-2011","Accountants and Auditors",23289,26711,3422,14.6936,2520
    "13-2020","Property Appraisers and Assessors",844,902,58,6.8720,71
    "13-2031","Budget Analysts",619,712,93,15.0242,60
    "13-2041","Credit Analysts",1484,1472,-12,-0.8086,123
    "13-2051","Financial and Investment Analysts",8949,10213,1264,14.1245,841
    "13-2052","Personal Financial Advisors",3519,4048,529,15.0327,325
    "13-2053","Insurance Underwriters",2179,2234,55,2.5241,166
    "13-2061","Financial Examiners",1117,1359,242,21.6652,115
    "13-2071","Credit Counselors",651,732,81,12.4424,61
    "13-2072","Loan Officers",3993,4255,262,6.5615,338
    "13-2081","Tax Examiners and Collectors, and Revenue Agents",348,335,-13,-3.7356,27
    "13-2082","Tax Preparers",1164,1280,116,9.9656,146
    "15-1211","Computer Systems Analysts",9602,10963,1361,14.1741,843
    "15-1212","Information Security Analysts",3806,5315,1509,39.6479,473
    "15-1221","Computer and Information Research Scientists",198,263,65,32.8283,22
    "15-1231","Computer Network Support Specialists",4957,5680,723,14.5854,454
    "15-1232","Computer User Support Specialists",12971,15060,2089,16.1052,1214
    "15-1241","Computer Network Architects",3630,4047,417,11.4876,270
    "15-1242","Database Administrators",3433,3878,445,12.9624,308
    "15-1244","Network and Computer Systems Administrators",6062,6849,787,12.9825,492
    "15-1251","Computer Programmers",3899,3677,-222,-5.6938,227
