year,FIPS,area_name,age_in_yrs_num,age_in_yrs_char,total,total_male,total_female,nh_white_total,nh_white_male,nh_white_female,nh_black_total,nh_black_male,nh_black_female,hispanic_total,hispanic_male,hispanic_female,nh_asian_total,nh_asian_male,nh_asian_female,nh_other_total,nh_other_male,nh_other_female
2010,113,Dallas County,-1,All Ages,2368139,1171002,1197137,784693,383504,401189,518732,239252,279480,905940,470056,435884,117797,58524,59273,40977,19666,21311
2010,113,Dallas County,0,< 1 yr,38082,19448,18634,7103,3675,3428,7739,3979,3760,20364,10299,10065,1754,924,830,1122,571,551
2010,113,Dallas County,1,1 yr,38194,19471,18723,6960,3536,3424,7873,3981,3892,20508,10518,9990,1764,903,861,1089,533,556
2010,113,Dallas County,2,2 yrs,39311,20193,19118,7065,3579,3486,8131,4203,3928,21186,10927,10259,1797,909,888,1132,575,557
2010,113,Dallas County,3,3 yrs,38979,20051,18928,6963,3626,3337,8209,4239,3970,21081,10838,10243,1725,866,859,1001,482,519
2010,113,Dallas County,4,4 yrs,38272,19536,18736,6796,3513,3283,8230,4177,4053,20546,10475,10071,1705,871,834,995,500,495
2010,113,Dallas County,5,5 yrs,37466,19131,18335,6795,3507,3288,8048,4088,3960,20089,10245,9844,1658,851,807,876,440,436
2010,113,Dallas County,6,6 yrs,36697,18726,17971,6712,3451,3261,8014,4014,4000,19451,9946,9505,1638,869,769,882,446,436
2010,113,Dallas County,7,7 yrs,36015,18369,17646,6557,3407,3150,7924,3992,3932,19089,9730,9359,1599,804,795,846,436,410
2010,113,Dallas County,8,8 yrs,36693,18771,17922,6685,3450,3235,8205,4160,4045,19528,10009,9519,1493,749,744,782,403,379
2010,113,Dallas County,9,9 yrs,36640,18810,17830,6847,3598,3249,8151,4191,3960,19270,9827,9443,1576,808,768,796,386,410
2010,113,Dallas County,10,10 yrs,36059,18354,17705,6853,3522,3331,8461,4230,4231,18529,9483,9046,1427,704,723,789,415,374
2010,113,Dallas County,11,11 yrs,34799,17647,17152,6882,3560,3322,8140,4105,4035,17645,8910,8735,1338,690,648,794,382,412
2010,113,Dallas County,12,12 yrs,34261,17493,16768,6927,3577,3350,8199,4201,3998,17032,8645,8387,1298,668,630,805,402,403
2010,113,Dallas County,13,13 yrs,34229,17415,16814,7278,3740,3538,8240,4122,4118,16667,8542,8125,1305,639,666,739,372,367
2010,113,Dallas County,14,14 yrs,34055,17320,16735,7239,3688,3551,8253,4243,4010,16471,8320,8151,1325,667,658,767,402,365
2010,113,Dallas County,15,15 yrs,34622,17837,16785,7542,3902,3640,8683,4403,4280,16265,8436,7829,1336,696,640,796,400,396
